Hourly measurement data supplied by UK-air on 20/04/2024
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Cambridge Roadside",,,,,
Latitude,,52.202370,,,,,,
Longitude,,0.124456,,,,,,
Site Type,,Urban Traffic,,,,,,
Zone,,Eastern,,,,,,
Agglomeration,,#N/A,,,,,,
Local Authority,,"Cambridge",,,,,,
Date,Time,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status
2019-01-09,19:00:00,45.26623,V ugm-3,39.56756,V ugm-3,108.97481,V ugm-3
2019-01-09,20:00:00,22.08964,V ugm-3,31.80793,V ugm-3,65.67824,V ugm-3
2019-01-09,21:00:00,22.89609,V ugm-3,29.43058,V ugm-3,64.53742,V ugm-3
2019-01-09,22:00:00,19.10929,V ugm-3,28.44637,V ugm-3,57.74687,V ugm-3
2019-01-09,23:00:00,21.59876,V ugm-3,29.51844,V ugm-3,62.63607,V ugm-3
2019-01-09,24:00:00,23.52722,V ugm-3,28.95178,V ugm-3,65.02634,V ugm-3
2019-01-10,01:00:00,14.08528,V ugm-3,26.19307,V ugm-3,47.7902,V ugm-3
2019-01-10,02:00:00,11.18399,V ugm-3,23.02713,V ugm-3,40.17567,V ugm-3
2019-01-10,03:00:00,9.54617,V ugm-3,22.94586,V ugm-3,37.58311,V ugm-3
2019-01-10,04:00:00,5.47501,V ugm-3,23.0966,V ugm-3,31.49149,V ugm-3
2019-01-10,05:00:00,6.10674,V ugm-3,25.82644,V ugm-3,35.18997,V ugm-3
2019-01-10,06:00:00,8.66876,V ugm-3,27.28261,V ugm-3,40.57453,V ugm-3
2019-01-10,07:00:00,51.31065,V ugm-3,40.11133,V ugm-3,118.78656,V ugm-3
2019-01-10,08:00:00,94.05783,V ugm-3,39.67074,V ugm-3,183.89073,V ugm-3
2019-01-10,09:00:00,112.65882,V ugm-3,41.77088,V ugm-3,214.51199,V ugm-3
2019-01-10,10:00:00,126.41653,V ugm-3,39.54916,V ugm-3,233.38513,V ugm-3
2019-01-10,11:00:00,128.80307,V ugm-3,40.62173,V ugm-3,238.11701,V ugm-3
2019-01-10,12:00:00,101.91938,V ugm-3,43.49825,V ugm-3,199.77245,V ugm-3
2019-01-10,13:00:00,85.52945,V ugm-3,45.94872,V ugm-3,177.09205,V ugm-3
2019-01-10,14:00:00,84.1958,V ugm-3,47.06901,V ugm-3,176.16743,V ugm-3
2019-01-10,15:00:00,81.73906,V ugm-3,48.33404,V ugm-3,173.66552,V ugm-3
2019-01-10,16:00:00,116.20353,V ugm-3,49.17164,V ugm-3,227.3479,V ugm-3
2019-01-10,17:00:00,84.37128,V ugm-3,48.54041,V ugm-3,177.90789,V ugm-3
2019-01-10,18:00:00,121.18719,V ugm-3,49.30782,V ugm-3,235.12559,V ugm-3
2019-01-10,19:00:00,137.15597,V ugm-3,44.40291,V ugm-3,254.7058,V ugm-3
2019-01-10,20:00:00,71.98232,V ugm-3,41.32083,V ugm-3,151.69218,V ugm-3
2019-01-10,21:00:00,29.79668,V ugm-3,37.96337,V ugm-3,83.65098,V ugm-3
2019-01-10,22:00:00,31.58658,V ugm-3,36.85057,V ugm-3,85.28266,V ugm-3
2019-01-10,23:00:00,30.18274,V ugm-3,38.18727,V ugm-3,84.46682,V ugm-3
2019-01-10,24:00:00,21.54907,V ugm-3,34.83659,V ugm-3,67.87803,V ugm-3
2019-01-11,01:00:00,18.40785,V ugm-3,30.44064,V ugm-3,58.66562,V ugm-3
2019-01-11,02:00:00,9.46154,V ugm-3,25.6436,V ugm-3,40.1511,V ugm-3
2019-01-11,03:00:00,5.93688,V ugm-3,22.26268,V ugm-3,31.36578,V ugm-3
2019-01-11,04:00:00,6.49896,V ugm-3,21.4553,V ugm-3,31.42023,V ugm-3
2019-01-11,05:00:00,4.70735,V ugm-3,19.90049,V ugm-3,27.11833,V ugm-3
2019-01-11,06:00:00,11.41708,V ugm-3,21.32009,V ugm-3,38.82604,V ugm-3
2019-01-11,07:00:00,58.91216,V ugm-3,34.69675,V ugm-3,125.02746,V ugm-3
2019-01-11,08:00:00,102.01604,V ugm-3,43.75222,V ugm-3,200.17463,V ugm-3
2019-01-11,09:00:00,104.40485,V ugm-3,47.82197,V ugm-3,207.90717,V ugm-3
2019-01-11,10:00:00,111.71178,V ugm-3,47.78133,V ugm-3,219.07033,V ugm-3
2019-01-11,11:00:00,113.43313,V ugm-3,45.63206,V ugm-3,219.56042,V ugm-3
2019-01-11,12:00:00,94.18217,V ugm-3,45.58101,V ugm-3,189.99165,V ugm-3
2019-01-11,13:00:00,105.52899,V ugm-3,43.5934,V ugm-3,205.40226,V ugm-3
2019-01-11,14:00:00,95.0604,V ugm-3,46.1403,V ugm-3,191.89755,V ugm-3
2019-01-11,15:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3
2019-01-11,16:00:00,108.19883,V ugm-3,47.55896,V ugm-3,213.46152,V ugm-3
2019-01-11,17:00:00,54.83714,V ugm-3,54.44974,V ugm-3,138.53217,V ugm-3
2019-01-11,18:00:00,86.13751,V ugm-3,49.85671,V ugm-3,181.93239,V ugm-3
2019-01-11,19:00:00,44.33342,V ugm-3,43.81807,V ugm-3,111.79503,V ugm-3
